"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific (excluding high income)","EAP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4637221.7","4634806.176","4632430.853","4630055.529","4627680.205","4625304.881","4622929.558","4620554.234","4618178.91","4615803.586","4613428.2626","4632428.852","4651429.441","4670430.03","4689430.619","4708431.208","4727431.797","4746432.386","4765432.975","4784433.564","4803434.153","4809026.164","4814618.175","4820210.186","4825802.198","4831394.2088","4851733.57","4851860.1","4859526.8","4867196.5","4874866.3",
"Early-demographic dividend","EAR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8429045.19999924","8437984.36799924","8394379.12099924","8343910.27899923","8304878.83799924","8265847.39699924","8226815.95799924","8187784.51699924","8148753.07499924","8109721.63399924","8072590.1935","8049101.16200382","8027512.12999886","8005922.99800114","7984333.96599618","7962744.93400076","7941155.70200076","7919566.47000076","7897977.23800076","7876388.00500076","7854806.5734","7824271.58000076","7793744.38700076","7763217.19400076","7732690.00200076","7702172.5088","7686805","7655531.46","7632988.4","7610957.1","7589317.5",
"East Asia & Pacific","EAS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6399770.269","6395610.222","6391492.775","6387375.328","6383257.88","6379140.433","6375022.987","6370905.539","6366788.092","6362670.644","6358553.1972","6375269.613","6391986.029","6408702.445","6425418.861","6442135.277","6458851.693","6475568.109","6492284.525","6509000.941","6525717.3568","6538256.81","6550796.263","6563335.716","6575875.17","6588414.6228","6617999.125","6617836.7","6625321.5","6632992.9","6640831.4",
"Europe & Central Asia (excluding high income)","ECA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8785942.8","8787301.17","8786192.094","8788096.203","8790000.312","8791904.422","8793808.531","8795712.64","8797616.749","8799520.859","8801264.968","8809636.726","8817848.482","8826060.24","8834271.997","8842483.755","8853259.512","8861925.269","8870591.027","8879256.783","8887922.5411","8891039.055","8894155.567","8897272.08","8900388.594","8903505.1066","8907642.552","8911931.1752","8914682.9615","8917436.5","8920192.2",
"Europe & Central Asia","ECS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10303035.21","10310906.069","10316820.461","10325322.449","10334001.836","10342681.225","10351360.613","10360040","10368719.388","10377398.776","10385048.164","10397871.434","10410534.703","10423197.974","10435861.244","10448524.514","10463751.783","10476869.053","10489986.324","10503103.593","10516220.8631","10521971.919","10527722.972","10533474.027","10539225.082","10544976.1366","10551036.454","10557512.0592","10562170.4615","10566819.1","10571460.1",
"Ecuador","ECU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146322.1","145420.39","144518.68","143616.97","142715.26","141813.55","140911.84","140010.13","139108.42","138206.71","137305","136602.69","135900.38","135198.07","134495.76","133793.45","133091.14","132388.83","131686.52","130984.21","130281.9","129863.88","129445.86","129027.84","128609.82","128191.8","127549.1","126906.4","126263.7","125621","124978.3",
"Egypt, Arab Rep.","EGY","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438.1","453.5","468.9","484.3","499.7","515.1","530.5","545.9","561.3","576.7","592.1","598.53","604.96","611.39","617.82","624.25","630.68","637.11","643.54","649.97","656.4","621.96","587.52","553.08","518.64","484.2","449.8","449.8","449.8","449.8","449.8",
"Euro area","EMU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918315.91","924191.329","930507.727","936405.726","942501.064","948596.403","954691.742","960787.08","966882.419","972977.757","978203.096","982131.839","986060.583","989989.326","993918.07","997846.813","1001775.556","1005704.3","1009633.043","1013561.787","1017490.53","1019686.45","1021882.37","1024078.29","1026274.21","1028470.13","1030071.2","1031881.2","1033420","1034958.4","1036486.8",
"Eritrea","ERI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16210","16589.6","16210","11405.8","11374.2","11342.6","11311","11279.4","11247.8","11216.2","11184.6","11153","11121.4","11089.8","11058.2","11026.6","10995","10963.4","10931.8","10900.2","10868.6","10837","10805.4","10773.8","10742.2","10710.6","10679","10647.4","10615.8","10584.2","10552.6",
"Spain","ESP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139046.6","142235.87","145425.14","148614.41","151803.68","154992.95","158182.22","161371.49","164560.76","167750.03","170939.3","172390.71","173842.12","175293.53","176744.94","178196.35","179647.76","181099.17","182550.58","184001.99","185453.4","185465.08","185476.76","185488.44","185500.12","185511.8","185552.4","185593","185635.9","185678.8","185721.7",
"Estonia","EST","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22060","22060","22124.98","22157.97","22190.96","22223.95","22256.94","22289.93","22322.92","22355.91","22388.9","22486.03","22583.16","22680.29","22777.42","22874.55","22971.68","23068.81","23165.94","23263.07","23360.2","23530.18","23700.16","23870.14","24040.12","24210.1","24212.5","24384","24384","24384","24384",
"Ethiopia","ETH","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204085.6","203324","202562.4","190395","189665","188935","188205","187475","186745","186015","185285","184555","183825","183095","182365","181635","180905","180175","179445","178715","177985","177255","176525","175795","175065","174335","173605","172875","172145","171415","170685",
"European Union","EUU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1452989.31","1459332.159","1466185.987","1472614.226","1479219.864","1485825.503","1492431.142","1499036.78","1505642.419","1512248.057","1517983.696","1522798.639","1527613.583","1532428.526","1537243.47","1542058.413","1546873.356","1551688.3","1556503.243","1561318.187","1566133.13","1569420.23","1572707.33","1575994.43","1579281.53","1582568.63","1584695.302","1586843.084","1588671.1","1590497.5","1592313.8",
"Fragile and conflict affected situations","FCS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5060338.69999924","5037883.46599924","5015646.71299924","4976648.46899924","4953860.22499924","4931071.98099924","4908283.73799924","4885495.49399924","4862707.24999924","4839919.00599924","5106962.3626","4796823.05700381","4776515.34999886","4756207.54400114","4735899.83699619","4715592.13100076","4695284.22500076","4674976.31800076","4654668.41200076","4634360.50500076","4886442.0989","4860441.61500076","4834448.93000076","4808456.24600076","4782463.56300076","4756480.5785","4729614.2309","4703834.948","4678697.0295","4653082.3","4628111.4",
"Finland","FIN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218753.3","219323.61","219893.92","220464.23","221034.54","221604.85","222175.16","222745.47","223315.78","223886.09","224456.4","224252.76","224049.12","223845.48","223641.84","223438.2","223234.56","223030.92","222827.28","222623.64","222420","222754","223088","223422","223756","224090","224090","224090","224090","224090","224090",
"Fiji","FJI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9396.9","9463.68","9530.46","9597.24","9664.02","9730.8","9797.58","9864.36","9931.14","9997.92","10064.7","10131.47","10198.24","10265.01","10331.78","10398.55","10465.32","10532.09","10598.86","10665.63","10732.4","10799.16","10865.92","10932.68","10999.44","11066.2","11133","11199.8","11266.6","11333.4","11400.2",
"France","FRA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144360","145212","146064","146916","147768","148620","149472","150324","151176","152028","152880","154011","155142","156273","157404","158535","159666","160797","161928","163059","164190","165024","165858","166692","167526","168360","169194","170028","170862","171696","172530",
"Faroe Islands","FRO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8",
"Micronesia, Fed. Sts.","FSM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","640","636.08","636.36","636.64","636.92","637.2","637.48","637.76","638.04","638.32","638.6","638.87","639.14","639.41","639.68","639.95","640.22","640.49","640.76","641.03","641.3","641.58","641.86","642.14","642.42","642.7","643","643.3","643.6","643.9","644.2",
"Gabon","GAB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237616.2","237554.58","237492.96","237431.34","237369.72","237308.1","237246.48","237184.86","237123.24","237061.62","237000","236949.41","236898.82","236848.23","236797.64","236747.05","236696.46","236645.87","236595.28","236544.69","236494.1","236375.28","236256.46","236137.64","236018.82","235900","235781.2","235662.4","235543.6","235424.8","235306",
"United Kingdom","GBR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27780","27956","28132","28308","28484","28660","28836","29012","29188","29364","29540","29645","29750","29855","29960","30065","30170","30275","30380","30485","30590","30782","30974","31166","31358","31550","31590","31640","31730","31820","31900",
"Georgia","GEO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27520","27520","27539.6","27547.9","27556.2","27564.5","27572.8","27581.1","27589.4","27597.7","27606","27667.8","27729.6","27791.4","27853.2","27915","27976.8","28038.6","28100.4","28162.2","28224","28224","28224","28224","28224","28224","28224","28224","28224","28224","28224",
"Ghana","GHA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99242.6","98166.95","97091.3","96015.65","94940","93864.35","92788.7","91713.05","90637.4","89561.75","88486.1","87580.42","86674.74","85769.06","84863.38","83957.7","83052.02","82146.34","81240.66","80334.98","79429.3","79304.32","79179.34","79054.36","78929.38","78804.4","79222.4","79640.4","79712.6","79784.8","79857.1",
"Gibraltar","GIB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Guinea","GIN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72760","72413","72066","71719","71372","71025","70678","70331","69984","69637","69290","68930","68570","68210","67850","67490","67130","66770","66410","66050","65690","65330","64970","64610","64250","63890","63490","63090","62690","62290","61890",
"Gambia, The","GMB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4146.6","4089.27","4031.94","3974.61","3917.28","3859.95","3802.62","3745.29","3687.96","3630.63","3573.3","3515.97","3458.64","3401.31","3343.98","3286.65","3229.32","3171.99","3114.66","3057.33","3000","2942.68","2885.36","2828.04","2770.72","2713.4","2656","2598.7","2541.4","2484","2426.7",
"Guinea-Bissau","GNB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22333.3","22248.85","22164.4","22079.95","21995.5","21911.05","21826.6","21742.15","21657.7","21573.25","21488.8","21404.35","21319.9","21235.45","21151","21066.55","20982.1","20897.65","20813.2","20728.75","20644.3","20559.86","20475.42","20390.98","20306.54","20222.1","20137.7","20053.3","19968.9","19884.5","19800.1",
"Equatorial Guinea","GNQ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26991.5","26907.93","26824.36","26740.79","26657.22","26573.65","26490.08","26406.51","26322.94","26239.37","26155.8","26072.23","25988.66","25905.09","25821.52","25737.95","25654.38","25570.81","25487.24","25403.67","25320.1","25236.52","25152.94","25069.36","24985.78","24902.2","24818.6","24735","24651.4","24567.8","24484.2",
"Greece","GRC","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32985.51","33287.189","33588.867","33890.546","34192.224","34493.903","34795.582","35097.26","35398.939","35700.617","36002.296","36303.869","36605.443","36907.016","37208.59","37510.163","37811.736","38113.31","38414.883","38716.457","39018.03","39018.03","39018.03","39018.03","39018.03","39018.03","39018","39018","39018","39018","39018",
"Grenada","GRD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177","177",
"Greenland","GRL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2",
"Guatemala","GTM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47812","47240","46668","46096","45524","44952","44380","43808","43236","42664","42092","41605.4","41118.8","40632.2","40145.6","39659","39172.4","38685.8","38199.2","37712.6","37226","36952.4","36678.8","36405.2","36131.6","35858","35742","35626","35510","35394","35278",
"Guam","GUM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","242","244","246","248","250","280","280","280","280","280",
"Guyana","GUY","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186021.5","185983.57","185945.64","185907.71","185869.78","185831.85","185793.92","185755.99","185718.06","185680.13","185642.2","185597.79","185553.38","185508.97","185464.56","185420.15","185375.74","185331.33","185286.92","185242.51","185198.1","185081.2","184964.3","184847.4","184730.5","184613.6","184521.6","184429.5","184337.5","184245.4","184153.4",
"High income","HIC","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9972797.779","9979508.215","9986732.029","9993530.255","10000505.879","10007481.505","10014457.131","10021432.755","10028408.381","10035384.005","10041496.4306","10049697.239","10057904.849","10066112.459","10074320.069","10082527.678","10090735.287","10098942.897","10107150.507","10115358.117","10123572.5258","10137634.09","10151695.653","10165757.217","10179818.78","10193880.344","10205900.957","10205869.584","10208665.8","10211631.8","10214756.8",
"Hong Kong SAR, China","HKG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69877.8","69668.29","69458.78","69249.27","69039.76","68830.25","68620.74","68411.23","68201.72","67992.21","67782.7","67579.9","67377.1","67174.3","66971.5","66768.7","66565.9","66363.1","66160.3","65957.5","65754.7","65531.42","65308.14","65084.86","64861.58","64638.3","64430.5","64221.1","64011.6","63802.1","63592.6",
"Heavily indebted poor countries (HIPC)","HPC","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5950078.4","5921430.564","5892023.528","5846786.092","5817758.656","5788731.22","5759703.784","5730676.348","5701648.912","5672621.476","5861855.64","5617667.786","5591741.532","5565815.278","5539889.024","5513962.77","5488036.516","5462110.262","5436184.008","5410257.754","5585143.2","5553223.96","5521304.72","5489385.48","5457466.24","5425547","5391094.3","5357638.9","5324413.28","5290657.1","5257492.2",
"Croatia","HRV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18500","18500","18570","18605","18640","18675","18710","18745","18780","18815","18850","18885","18920","18955","18990","19025","19060","19095","19130","19165","19200","19204","19208","19212","19216","19220","19241.202","19316.084","19341.1","19366.1","19391.1",
"Haiti","HTI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3829.2","3826.93","3824.66","3822.39","3820.12","3817.85","3815.58","3813.31","3811.04","3808.77","3806.5","3804.23","3801.96","3799.69","3797.42","3795.15","3792.88","3790.61","3788.34","3786.07","3783.8","3752.74","3721.68","3690.62","3659.56","3628.5","3597.4","3566.3","3535.2","3504.1","3473",
"Hungary","HUN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18139","18246.27","18353.54","18460.81","18568.08","18675.35","18782.62","18889.89","18997.16","19104.43","19211.7","19336.92","19462.14","19587.36","19712.58","19837.8","19963.02","20088.24","20213.46","20338.68","20463.9","20492.76","20521.62","20550.48","20579.34","20608.2","20587.3","20572.7","20559.2","20544.7","20530.1",
"IBRD only","IBD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25032092.769","24982796.626","24932136.473","24882961.001","24833785.529","24784610.058","24735434.586","24686259.114","24637083.642","24587908.17","24538572.698","24511594.933","24484457.166","24457319.401","24430181.635","24403043.87","24378470.104","24351786.338","24325102.573","24298418.806","24271735.0411","24253670.955","24235606.867","24217542.78","24199478.694","24181414.6066","24176884.724","24147934.957","24136296.6615","24123028.5","24110892.6",
"IDA & IBRD total","IBT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32148709.269","32114600.024","32028952.334","31930452.428","31848162.522","31765872.618","31683582.714","31601292.808","31519002.902","31436712.997","31645994.6915","31297105.005","31239786.916","31182468.829","31125150.741","31067832.654","31013078.566","30956214.478","30899350.391","30842486.301","31058003.9145","31001079.655","30944155.394","30887231.134","30830306.876","30773382.6154","30730056.4029","30663489.7592","30614171.7415","30562216","30511789.4",
"IDA total","IDA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7116616.5","7131803.398","7096815.861","7047491.427","7014376.993","6981262.56","6948148.128","6915033.694","6881919.26","6848804.827","7107421.9935","6785510.072","6755329.75","6725149.428","6694969.106","6664788.784","6634608.462","6604428.14","6574247.818","6544067.495","6786268.8734","6747408.7","6708548.527","6669688.354","6630828.182","6591968.0088","6553171.6789","6515554.8022","6477875.08","6439187.5","6400896.8",
"IDA blend","IDB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356507.2","1401392.266","1393724.717","1390601.373","1387478.03","1384354.687","1381231.345","1378108.002","1374984.658","1371861.315","1368737.9726","1365409.411","1362080.849","1358752.287","1355423.725","1352095.163","1348766.601","1345438.039","1342109.477","1338780.915","1335452.353","1332314.904","1329177.455","1326040.006","1322902.558","1319765.1088","1316722.7789","1314043.36","1311097.8","1307859.6","1304621.4",
"Indonesia","IDN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185450","1168185","1150920","1133655","1116390","1099125","1081860","1064595","1047330","1030065","1012800","1011179.2","1009558.4","1007937.6","1006316.8","1004696","1003075.2","1001454.4","999833.6","998212.8","996592","987329.4","978066.8","968804.2","959541.6","950279","952718","939498","933442.7","927387.3","921332",
"IDA only","IDX","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5760109.3","5730411.132","5703091.144","5656890.054","5626898.963","5596907.873","5566916.783","5536925.692","5506934.602","5476943.512","5738684.0209","5420100.661","5393248.901","5366397.141","5339545.381","5312693.621","5285841.861","5258990.101","5232138.341","5205286.58","5450816.5204","5415093.796","5379371.072","5343648.348","5307925.624","5272202.9","5236448.9","5201511.4422","5166777.28","5131327.9","5096275.4",
"Isle of Man","IMN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6",
"India","IND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639380","643033","646686","650339","653992","657645","661298","664951","668604","672257","675910","677815","679720","681625","683530","685435","687340","689245","691150","693055","694960","697624","700288","702952","705616","708280","710944","713608","716272","718936","721600",
"Not classified","INX","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4616.4","4785.12","4953.84","5122.56","5291.28","5460","5628.72","5797.44","5966.16","6134.88","6303.6","6393.62","6483.64","6573.66","6663.68","6753.7","6843.72","6933.74","7023.76","7113.78","7203.8","7272.38","7340.96","7409.54","7478.12","7546.7","7623.5","7700.2","7740.2","7780.2","7820.2",
"Iran, Islamic Rep.","IRN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90760.6","91010.2","91259.8","91509.4","91759","92008.6","92258.2","92507.8","92757.4","93007","93256.6","94622.92","95989.24","97355.56","98721.88","100088.2","101454.52","102820.84","104187.16","105553.48","106919.8","106919.8","106919.8","106919.8","106919.8","106919.8","107020.8","107105.9","107270.3","107434.7","107518.7",
"Iraq","IRQ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8040","8054","8068","8082","8096","8110","8124","8138","8152","8166","8180","8187","8194","8201","8208","8215","8222","8229","8236","8243","8250","8250","8250","8250","8250","8250","8250","8250","8250","8250","8250",
"Iceland","ISL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170.7","183.46","196.22","208.98","221.74","234.5","247.26","260.02","272.78","285.54","298.3","313.14","327.98","342.82","357.66","372.5","387.34","402.18","417.02","431.86","446.7","453.68","460.66","467.64","474.62","481.6","486.6","493.8","500.4","506.9","513.5",
"Israel","ISR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1320","1341","1362","1383","1404","1425","1446","1467","1488","1509","1530","1531","1532","1533","1534","1535","1536","1537","1538","1539","1540","1562","1584","1606","1628","1650","1400","1400","1400","1400","1400",
"Italy","ITA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75897.5","76677","77456.5","78236","79015.5","79795","80574.5","81354","82133.5","82913","83692.5","84351.29","85010.08","85668.87","86327.66","86986.45","87645.24","88304.03","88962.82","89621.61","90280.4","90818.48","91356.56","91894.64","92432.72","92970.8","93508.9","94047","94585.1","95123.2","95661.3",
"Jamaica","JAM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5212.8","5212.52","5212.24","5211.96","5211.68","5211.4","5211.12","5210.84","5210.56","5210.28","5210","5247.45","5284.9","5322.35","5359.8","5397.25","5434.7","5472.15","5509.6","5547.05","5584.5","5622.52","5660.54","5698.56","5736.58","5774.6","5813.4","5852.3","5891.2","5930","5968.9",
"Jordan","JOR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975","975",
"Japan","JPN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249500","249426","249352","249278","249204","249130","249056","248982","248908","248834","248760","248850","248940","249030","249120","249210","249300","249390","249480","249570","249660","249616","249572","249528","249484","249440","249400","249350","249350","249350","249350",
"Kazakhstan","KAZ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34220","34220","31611.81","31606.491","31601.172","31595.853","31590.534","31585.215","31579.896","31574.577","31569.258","31494.512","31419.765","31345.019","31270.273","31195.527","31120.78","31046.034","30971.288","30896.541","30821.7952","31274.349","31726.902","32179.455","32632.009","33084.5619","33377.1","33669.6","33962.012","34254.4","34546.8",
"Kenya","KEN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38585.4","38688.05","38790.7","38893.35","38996","39098.65","39201.3","39303.95","39406.6","39509.25","39611.9","39267.05","38922.2","38577.35","38232.5","37887.65","37542.8","37197.95","36853.1","36508.25","36163.4","35975.54","35787.68","35599.82","35411.96","35224.1","35519.7","35815.3","36110.9","36110.9","36110.9",
"Kyrgyz Republic","KGZ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8360","8360","11453.18","11497.658","11542.135","11586.613","11631.09","11675.567","11720.045","11764.523","11809","11857.78","11906.56","11955.34","12004.12","12052.9","12101.68","12150.46","12199.24","12248.02","12296.8","12341.06","12385.32","12429.58","12473.84","12518.1","12562.4","12606.6422","12789","12971.4","13153.8",
"Cambodia","KHM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110047.9","109824.11","109600.32","109376.53","109152.74","108928.95","108705.16","108481.37","108257.58","108033.79","107810","107618.23","107426.46","107234.69","107042.92","106851.15","106659.38","106467.61","106275.84","106084.07","105892.3","102407.48","98922.66","95437.84","91953.02","88468.2","86911.3","85354.4","83797.5","82240.6","80683.7",
"Kiribati","KIR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8",
"St. Kitts and Nevis","KNA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110","110",
"Korea, Rep.","KOR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65510","65435","65360","65285","65210","65135","65060","64985","64910","64835","64760","64671","64582","64493","64404","64315","64226","64137","64048","63959","63870","63770","63670","63570","63470","63370","63250","63170","63070","62970","62870",
"Kuwait","KWT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5","35.9","37.3","38.7","40.1","41.5","42.9","44.3","45.7","47.1","48.5","49.9","51.3","52.7","54.1","55.5","56.9","58.3","59.7","61.1","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5",
