"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37756.7","37819.17","37881.64","37944.11","38006.58","38069.05","38131.52","38193.99","38256.46","38318.93","38381.4","38406.46","38431.52","38456.58","38481.64","38506.7","38531.76","38556.82","38581.88","38606.94","38632","38667.98","38703.96","38739.94","38775.92","38811.9","38847.9","38883.8","38919.7","38955.6","38991.5",
"Azerbaijan","AZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8520","8558","9532.36","9574.84","9617.32","9659.8","9702.28","9744.76","9787.24","9829.72","9872.2","9917.475","9962.749","10008.024","10053.298","10098.573","10143.848","10189.122","10234.397","10279.671","10324.9459","10415.731","10506.515","10597.3","10688.085","10778.8697","10874.752","10971.848","11087.1495","11202.4","11317.7",
"Burundi","BDI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2764.8","2682.26","2599.72","2517.18","2434.64","2352.1","2269.56","2187.02","2104.48","2021.94","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","2110.8","2282.2","2453.6","2625","2796.4","2796.4","2796.4","2796.4","2796.4","2796.4",
"Belgium","BEL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7632","7622.8","7613.6","7604.4","7595.2","7586","7576.8","7567.6","7558.4","7549.2","6673","6695.57","6718.14","6740.71","6763.28","6785.85","6808.42","6830.99","6853.56","6876.13","6898.7","6897.56","6896.42","6895.28","6894.14","6893","6893","6893","6893","6893","6893",
"Benin","BEN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48351.5","47651.5","46951.5","46251.5","45551.5","44851.5","44151.5","43451.5","42751.5","42051.5","41351.5","40851.5","40351.5","39851.5","39351.5","38851.5","38351.5","37851.5","37351.5","36851.5","36351.5","35851.5","35351.5","34851.5","34351.5","33851.5","33351.5","32851.5","32351.5","31851.5","31351.5",
"Burkina Faso","BFA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77166","76665.9","76165.8","75665.7","75165.6","74665.5","74165.4","73665.3","73165.2","72665.1","72165","71665","71165","70665","70165","69665","69165","68665","68165","67665","67165","66664.8","66164.6","65664.4","65164.2","64664","64164","63664","63164","62664","62164",
"Bangladesh","BGD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19203.3","19203.298","19203.296","19203.294","19203.292","19203.29","19203.289","19203.287","19203.285","19203.283","19203.2809","19171.295","19139.309","19107.323","19075.337","19043.351","19011.365","18979.379","18947.393","18915.406","18883.4204","18873.536","18863.652","18853.768","18843.884","18834","18834","18834","18834","18834","18834",
"Bulgaria","BGR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33270","33318","33366","33414","33462","33510","33558","33606","33654","33702","33750","34112","34474","34836","35198","35560","35922","36284","36646","37008","37370","37562","37754","37946","38138","38330","38410","38540","38670","38800","38930",
"Bahrain","BHR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.35","2.5","2.65","2.8","2.95","3.1","3.25","3.4","3.55","3.7","3.85","4","4.15","4.3","4.45","4.6","4.75","4.9","5.05","5.2","5.36","5.52","5.68","5.84","6","6.2","6.4","6.6","6.8","7",
"Bahamas, The","BHS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6",
